weather_condition,best_position,best_fitness,before_price,before_optimal,num
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1634.4618352941175, 1612.163011764706, 1598.6388705882352, 0, 0, 1344.2302588235293, 639.0612220292003, 1128.0650823529413, 1087.2792, 0, 1029.8664]",2795337.963693638,4636173.048395295,2755966.261543665,2
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1615.8413647058824, 366.7467707405903, 1634.4618352941175, 1612.163011764706, 1598.6388705882352, 1578.684282352941, 1520.9589176470588, 0, 0, 0, 0, 0, 0]",2484219.545603138,4636173.048395295,2755966.261543665,2
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 555.221582914482, 0, 0, 1615.8413647058824, 1629.9487058823531, 0, 0, 0, 1578.684282352941, 1520.9589176470588, 0, 0, 0, 0, 0, 1029.8664]",3211478.9215856167,4636173.048395295,2755966.261543665,2
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1615.8413647058824, 1629.9487058823531, 0, 1612.163011764706, 1598.6388705882352, 0, 1520.9589176470588, 0, 0, 1128.0650823529413, 968.1499279115427, 0, 0]",2170442.07926215,3446228.5447341176,2181350.155045111,2
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1298.458398499439, 0, 1615.8413647058824, 1629.9487058823531, 1634.4618352941175, 0, 0, 0, 1520.9589176470588, 1344.2302588235293, 0, 0, 0, 0, 1029.8664]",2200739.84376101,3446228.5447341176,2181350.155045111,2
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1610.7717176470587, 1615.8413647058824, 0, 1634.4618352941175, 0, 1598.6388705882352, 1578.684282352941, 0, 0, 907.3027279115406, 1128.0650823529413, 0, 0, 0]",2167985.336683327,3446228.5447341176,2181350.155045111,2
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 442.64533211652, 0, 0, 1615.8413647058824, 1629.9487058823531, 1634.4618352941175, 1612.163011764706, 0, 0, 1520.9589176470588, 1344.2302588235293, 0, 0, 273.5161947783697, 0, 0]",2128074.473180649,3446228.5447341176,2181350.155045111,2
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1615.8413647058824, 0, 0, 1612.163011764706, 1598.6388705882352, 1578.684282352941, 1520.9589176470588, 1344.2302588235293, 0, 0, 803.2491749700787, 0, 0]",2080708.6028480635,3446228.5447341176,2181350.155045111,2
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1615.8413647058824, 0, 0, 1612.163011764706, 1598.6388705882352, 0, 1520.9589176470588, 1344.2302588235293, 1197.6869647058825, 1128.0650823529413, 0, 56.181410264431655, 0]",2708012.930283608,4421121.538828235,2790593.7183757303,2
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 315.4821173510534, 0, 0, 1615.8413647058824, 1629.9487058823531, 1634.4618352941175, 1612.163011764706, 1598.6388705882352, 0, 1520.9589176470588, 0, 0, 0, 0, 0, 146.271052602439]",2858326.30384015,4421121.538828235,2790593.7183757303,2
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 603.9590275967695, 1610.7717176470587, 1615.8413647058824, 0, 1634.4618352941175, 0, 1598.6388705882352, 0, 0, 1344.2302588235293, 0, 0, 0, 0, 0]",2964120.5686287675,4421121.538828235,2790593.7183757303,2
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1334.580414051181, 0, 0, 1629.9487058823531, 0, 85.20262647848288, 1598.6388705882352, 1578.684282352941, 1520.9589176470588, 0, 1197.6869647058825, 1128.0650823529413, 0, 0, 0]",2708114.367895958,4421121.538828235,2790593.7183757303,2
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 554.8250337936859, 0, 1610.7717176470587, 0, 1629.9487058823531, 0, 0, 0, 0, 1520.9589176470588, 1344.2302588235293, 1197.6869647058825, 1128.0650823529413, 1087.2792, 0, 0]",2705714.471976321,4421121.538828235,2790593.7183757303,2
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2690.445176470588, 0, 0, 0, 0, 2536.200847058824, 0, 2810.038023529412, 2037.0818337939068, 0, 0, 0]",5779882.716128032,6938659.161148235,5673780.771459229,5
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2665.5619764705884, 2587.0599529411766, 2431.8046393114555, 2342.0905411764707, 47.24875891673721, 0, 0, 0, 0]",5549930.008150311,6938659.161148235,5673780.771459229,5
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2894.049317647059, 0, 2648.449694117647, 0, 2141.9274521105503, 0, 0, 2342.0905411764707, 0, 0, 47.24876334057038, 0, 0]",5549930.022144655,6938659.161148235,5673780.771459229,5
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2894.049317647059, 0, 2648.449694117647, 0, 2665.5619764705884, 0, 0, 0, 1865.7048926160971, 0, 0, 0, 0]",5605756.609794057,6938659.161148235,5673780.771459229,5
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 858.576691173108, 0, 0, 1081.2868847329466, 0, 0, 2665.5619764705884, 2587.0599529411766, 0, 0, 2810.038023529412, 0, 71.24018224699495, 0, 0]",5696488.821714884,6938659.161148235,5673780.771459229,5
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1334.580589810775, 0, 0, 0, 2648.449694117647, 0, 0, 0, 0, 2342.0905411764707, 2810.038023529412, 0, 0, 0, 0]",7363359.83424188,9030994.56101647,7150787.774164842,5
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1819.6833636263268, 0, 0, 0, 2645.9136000000003, 2665.5619764705884, 0, 0, 2342.0905411764707, 600.5155241788287, 0, 0, 0, 0]",7015479.341506878,9030994.56101647,7150787.774164842,5
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2894.049317647059, 0, 0, 0, 0, 2587.0599529411766, 2536.200847058824, 0, 2056.45576320515, 0, 0, 0, 0]",6985615.838564298,9030994.56101647,7150787.774164842,5
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2894.049317647059, 0, 0, 2645.9136000000003, 1851.3312883874562, 0, 2536.200847058824, 0, 0, 0, 0, 0, 0]",6848931.148346555,9030994.56101647,7150787.774164842,5
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2894.049317647059, 0, 2124.815320191049, 0, 2665.5619764705884, 0, 0, 2342.0905411764707, 0, 0, 47.24821538279237, 0, 0]",6820660.010982621,9030994.56101647,7150787.774164842,5
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2431.8046574262216, 0, 2665.5619764705884, 2587.0599529411766, 0, 2342.0905411764707, 0, 47.24873233747082, 0, 0, 0]",5549930.008502429,6938659.161148235,5673780.771459229,5
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2690.445176470588, 0, 2645.9136000000003, 0, 2587.0599529411766, 0, 0, 0, 0, 2150.34715144086, 0, 0]",5697091.794057455,6938659.161148235,5673780.771459229,5
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2011.1059279112278, 0, 0, 0, 2665.5619764705884, 2587.0599529411766, 0, 0, 2810.038023529412, 0, 0, 0, 0]",5634747.636912956,6938659.161148235,5673780.771459229,5
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2894.049317647059, 0, 0, 2645.9136000000003, 1851.331127337328, 0, 2536.200847058824, 0, 0, 0, 146.27080343706106, 0, 0]",5552970.008837475,6938659.161148235,5673780.771459229,5
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2894.049317647059, 0, 0, 0, 2665.5619764705884, 2124.8153248227172, 0, 2342.0905411764707, 0, 0, 0, 0, 0]",5554999.793052112,6938659.161148235,5673780.771459229,5
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2894.049317647059, 0, 0, 0, 0, 0, 2536.200847058824, 2342.0905411764707, 2301.4251749690693, 0, 0, 0, 0]",6825194.449300457,8793608.302418824,7163080.481966319,5
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28.353357912893394, 0, 2690.445176470588, 0, 0, 0, 2587.0599529411766, 2536.200847058824, 0, 2231.706362469757, 0, 0, 0, 0]",6979895.08290076,8793608.302418824,7163080.481966319,5
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2455.5259891012, 0, 0, 2142.639835601164, 0, 2665.5619764705884, 0, 0, 0, 2810.038023529412, 0, 0, 0, 0]",7101666.064466109,8793608.302418824,7163080.481966319,5
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 936.5192764370964, 0, 2894.049317647059, 0, 0, 767.5965302475987, 2665.5619764705884, 0, 0, 0, 2810.038023529412, 0, 0, 0, 0]",7022601.211260696,8793608.302418824,7163080.481966319,5
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2645.9136000000003, 0, 0, 2536.200847058824, 2342.0905411764707, 2549.5608926171953, 0, 0, 0, 0]",6977334.481300249,8793608.302418824,7163080.481966319,5
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1877.7134117647056, 0, 760.7638808446578, 0, 1971.7496470588235, 0, 1912.4449411764706, 1743.294705882353, 0, 1036.2981176470587, 0, 771.5011764705883, 0, 0]",2045785.6560794858,3299464.6564235296,2034586.266734523,6
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.8216470588236, 1854.4108235294116, 0, 1971.7496470588235, 0, 0, 1743.294705882353, 1296.2477647058822, 1036.2981176470587, 0, 0, 0, 271.9431749698009]",2012497.106268443,3299464.6564235296,2034586.266734523,6
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.8216470588236, 0, 1959.3931764705883, 0, 1990.154117647059, 294.3182337938389, 1743.294705882353, 1296.2477647058822, 0, 890.5362352941177, 0, 0, 0]",1936624.4272893912,3299464.6564235296,2034586.266734523,6
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.8216470588236, 1799.5205867350599, 0, 0, 0, 1912.4449411764706, 1743.294705882353, 1296.2477647058822, 0, 0, 771.5011764705883, 0, 650.9350588235294]",2022845.0781256808,3299464.6564235296,2034586.266734523,6
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 43.2214102643539, 0, 0, 0, 1854.4108235294116, 1959.3931764705883, 1971.7496470588235, 0, 1912.4449411764706, 0, 1296.2477647058822, 1036.2981176470587, 0, 0, 0, 0]",1999356.6266551053,3299464.6564235296,2034586.266734523,6
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.8216470588236, 0, 1959.3931764705883, 1971.7496470588235, 1990.154117647059, 0, 1743.294705882353, 0, 0, 0, 509.3525867349085, 0, 0]",2455634.480288956,4628030.373529412,2747823.5866777827,6
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 577.9865867350534, 1959.3931764705883, 1971.7496470588235, 1990.154117647059, 1912.4449411764706, 0, 0, 0, 890.5362352941177, 771.5011764705883, 0, 0]",2597722.6031948184,4628030.373529412,2747823.5866777827,6
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1877.7134117647056, 1899.8216470588236, 0, 0, 0, 572.7422337938369, 1912.4449411764706, 1743.294705882353, 1296.2477647058822, 0, 0, 771.5011764705883, 0, 0]",2631317.1506121145,4628030.373529412,2747823.5866777827,6
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1959.3931764705883, 0, 0, 0, 1743.294705882353, 1296.2477647058822, 0, 0, 771.5011764705883, 694.522588235294, 650.9350588235294]",3308933.797835294,4628030.373529412,2747823.5866777827,6
