Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice,optimal_rate,save_price
spring,1000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1551.1927559212284, 0, 0, 0, 0, 0, 0.2509947935421212, 54.4819680080266]",21459888.24447565,21470780.200590596,21678594.200038355,0.05072920505536387,10891.95611494407
spring,1500,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20.289513527020592, 0, 0, 0, 2316.9034987460977, 0, 0, 0, 0, 0, 74.33650789798999, 39.48761085035585]",21347032.16714008,21366873.200866714,21678594.200038355,0.09285885463965675,19841.033726632595
spring,2000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 724.6512794956839, 0, 0, 1538.2584935420707, 363.500713906289, 0, 596.831735404577, 0, 0, 0, 0, 45.058767141048946, 0]",21229965.789900683,21262966.201142833,21678594.200038355,0.1552013530472342,33000.41124214977
spring,2500,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4044.6826530210637, 0, 0, 0, 0, 42.70022193775003, 0]",21116807.015101124,21159059.20141895,21678594.200038355,0.19968839784234865,42252.18631782755
spring,3000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4876.551982070188, 0, 0, 0, 0, 33.13976891107252, 0]",21002819.774109006,21055152.201695073,21678594.200038355,0.2485492723337064,52332.42758606747
spring,3500,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5727.227113203912, 0, 0, 0, 0, 0, 0]",20888236.858416215,20951245.201971192,21678594.200038355,0.300737941576137,63008.34355497733
spring,4000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1384.195625671881, 0, 0, 420.3030277626621, 4726.157040550867, 0, 0, 0, 0, 12.66475965185166, 0]",20776289.74264989,20847338.20224731,21678594.200038355,0.3408035064628109,71048.45959741995
spring,4500,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6883.549545205479, 0, 244.92303722939994, 0, 0, 78.93503209149615, 0]",20695690.430183925,20743431.202523433,21678594.200038355,0.23014886916924468,47740.77233950794
spring,5000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 992.1171433590438, 0, 0, 0, 0, 6892.724515068494, 0, 0, 81.33907626997666, 67.48339577449718, 31.1135414813062, 77.25593253299834, 0]",20564627.613845237,20639524.20279955,21678594.200038355,0.36287943568076825,74896.58895431459
spring,1000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1322.5555726027396, 314.0605677324986, 0, 0, 0, 0, 0, 0]",3293112.240228257,3311151.268146759,3518965.26759452,0.5447962493298636,18039.027918501757
spring,1500,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 565.022391221829, 9.437347378720094, 0, 693.4009490350492, 952.1291411133546, 0, 7.45173100093629, 0, 0, 0, 0, 0, 0]",3211868.0589135624,3207244.2684228783,3518965.26759452,-0.1441670825078063,-4623.7904906840995
spring,2000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 45.251694552368846, 112.47540543016686, 209.73529861051873, 0, 249.45490568045824, 0, 1353.5459506849315, 0, 0, 1269.6113095890412, 0, 0, 0, 0, 0, 0]",3090774.3389281635,3103337.268698998,3518965.26759452,0.40481999483417397,12562.929770834278
spring,2500,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82.6774878625601, 1359.1027726027396, 0, 0, 1353.5459506849315, 0, 0, 1269.6113095890412, 0, 0, 0, 0, 0, 0]",2960542.0886098812,2999430.2689751177,3518965.26759452,1.296518901188667,38888.180365236476
spring,3000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1359.1027726027396, 426.5150250717619, 0, 0, 1340.6534136986302, 0, 0, 0, 0, 0, 876.1634630136987, 0, 825.0762082191782]",2936655.049656375,2895523.2692512367,3518965.26759452,-1.4205301280750737,-41131.78040513815
spring,3500,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1374.3139068493151, 1195.636437613759, 1340.6534136986302, 0.06586777757698514, 4.071381564156801, 0, 974.6225677299041, 0, 0, 838.0286031833084, 0]",2803089.181491683,2791616.2695273566,3518965.26759452,-0.4109774000661138,-11472.911964326166
spring,4000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 809.1414925359627, 1374.3139068493151, 0, 1340.6534136986302, 1322.5555726027396, 1269.6113095890412, 0, 0, 0, 0, 0, 0]",2699759.8654673295,2687709.2698034756,3518965.26759452,-0.4483593444887384,-12050.595663853921
spring,4500,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1283.8499732699372, 0, 1374.3139068493151, 1353.5459506849315, 0, 1025.2994762196638, 939.6294002361641, 1107.085808219178, 0, 0, 0, 0, 265.7733253861846]",2552861.240777972,2583802.2700795955,3518965.26759452,1.1974998884365171,30941.029301623348
spring,5000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 143.75687472721577, 0, 1354.5898520547946, 1359.1027726027396, 741.298649780417, 0, 1353.5459506849315, 1340.6534136986302, 0, 0, 0, 974.9506191780824, 0, 354.7100070080703, 537.6197535884704, 0]",2531032.8834911855,2479895.270355715,3518965.26759452,-2.0620876109875153,-51137.61313547054
spring,1000,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1551.1183969450367, 0, 0, 0, 0, 0, 0, 81.21862803865422]",6698996.67544884,6712124.35443717,6919938.353884933,0.19558158185272265,13127.678988330066
spring,1500,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1990.208836591736, 0, 410.30765163331307, 0, 0, 0, 0, 51.07204890021757, 0]",6584336.168763136,6608217.35471329,6919938.353884933,0.36138620551155537,23881.18595015444
spring,2000,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1029.428266353828, 0, 2091.320284931507, 0, 0, 0, 0, 0, 108.16877287146185, 33.54261470760089]",6477257.928140852,6504310.354989409,6919938.353884933,0.41591537568323533,27052.426848557778
spring,2500,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 536.4922106858534, 2144.92615890411, 0, 0, 1385.952298638642, 0, 0, 0, 0, 0, 21.066068978182557]",6356854.799020034,6400403.355265529,6919938.353884933,0.6804033094206133,43548.556245494634
spring,3000,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 766.2190605018807, 0, 2091.320284931507, 2048.7925479452056, 0, 0, 0, 0, 0, 3.501818534670421]",6242567.598386946,6296496.355541648,6919938.353884933,0.8564883406505689,53928.75715470221
spring,3500,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1390.3446681986084, 2144.92615890411, 0, 0, 2048.7925479452056, 0, 0, 0, 0, 137.69289258477428, 0]",6137661.250837129,6192589.355817768,6919938.353884933,0.8869973741926831,54928.10498063918
spring,4000,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1312.0009689192568, 0, 0, 133.04502133072577, 2160.2414465753427, 0, 1214.2790155870634, 913.4332732056201, 0, 247.47506963991484, 0, 355.8341224477601, 158.7000899473767]",6086640.217053588,6088682.356093887,6919938.353884933,0.03353991752018081,2042.1390402996913
spring,4500,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2151.303189041096, 2000.5295723172474, 743.8079862626704, 2091.320284931507, 0, 0, 0, 0, 0, 175.8529644026871, 178.00655671774314]",5925730.444001671,5984775.356370007,6919938.353884933,0.9865852743410027,59044.91236833576
spring,5000,5,"[0, 0, 0, 0, 0, 0, 0, 0, 139.45274347212631, 267.63092822843754, 792.239904542714, 0, 224.56107561756158, 2151.303189041096, 0, 0, 2091.320284931507, 0, 524.2851477636028, 0, 1815.779141651994, 89.74802840114072, 77.48921579208455, 0]",5914383.544131139,5880868.356646126,6919938.353884933,-0.5699020187577698,-33515.18748501316
spring,1000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1472.742786482951, 0, 0, 0, 0, 0, 0, 157.12073971039632]",3303430.0978338015,3312178.441648129,3519992.4410958905,0.2641265852202768,8748.343814327382
spring,1500,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 470.2424902405346, 0, 0, 0, 961.4535587779412, 0, 0, 999.8671451108888, 0, 0, 0, 0, 0, 0]",3198873.1647564224,3208271.4419242484,3519992.4410958905,0.2929389653572793,9398.27716782596
spring,2000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1694.9898084661543, 0, 264.8874107456191, 0, 0, 0, 744.1170410958904, 0, 568.1332602739726, 0]",3121507.925863844,3104364.4422003683,3519992.4410958905,-0.5522381145212555,-17143.483663475607
spring,2500,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1120.4689752614208, 1733.7698630136988, 0, 0, 1234.3699782032697, 0, 0, 0, 0, 0, 0]",2955764.4244218725,3000457.4424764873,3519992.4410958905,1.4895401421766712,44693.018054614775
spring,3000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 8.690012808202631, 0, 0, 588.3136473002733, 623.5303217153894, 667.2965802107897, 665.6362696056259, 1749.5585753424657, 0, 404.1586542499562, 0, 0, 0, 0, 23.130910742777132, 91.97420578212157]",2880049.2910343404,2896550.4427526067,3519992.4410958905,0.569682870862942,16501.15171826631
spring,3500,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145.9443755281249, 0, 0, 1109.6721182079307, 1518.8364040856536, 1679.2786849315069, 0, 0, 0, 744.1170410958904, 0, 0, 530.0344109589041]",2780586.8061170424,2792643.443028726,3519992.4410958905,0.4317284736718069,12056.636911683716
spring,4000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 494.57606919439365, 0, 1675.6037260273974, 0, 0, 1733.7698630136988, 13.904241185245578, 0, 0, 1115.0156712328767, 876.2853698630139, 0, 636.365589041096, 0, 0]",2712563.4588863985,2688736.4433048456,3519992.4410958905,-0.886178920246494,-23827.01558155287
spring,4500,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 539.5098695956606, 1630.1727123287674, 1724.5795068493153, 0, 1749.5585753424657, 756.8497705120482, 0, 0, 876.2853698630139, 0, 0, 0, 0]",2592720.8031993825,2584829.443580965,3519992.4410958905,-0.30529517674810064,-7891.359618417453
spring,5000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1675.6037260273974, 0, 0, 993.7680564647267, 1749.5585753424657, 1679.2786849315069, 1525.2233424657536, 0, 0, 0, 0, 0, 530.0344109589041]",2423011.85388458,2480922.4438570845,3519992.4410958905,2.3342362078224,57910.589972504415
