Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice
spring,1000,50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 552.8684152926387, 0, 0, 0, 113.57707060070642, 0, 970.1986191780821, 0, 0, 0, 0, 0, 0]",2487800.5319352937,2505843.418987389,2713657.4184351503
spring,1000,53,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1291.0160719735989, 0, 0, 0, 0, 345.6280330978281, 0, 0, 0, 0]",3690554.8828614512,3697986.9892974445,3905800.988745205
spring,1000,54,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1636.644105071428, 0, 0, 0, 0, 0, 0]",17911281.30361521,17929324.1906673,18137138.190115064
spring,1000,57,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1636.6441050714225, 0, 0, 0, 0, 0, 0]",6725893.003455211,6743935.890507308,6951749.889955068
spring,1000,58,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 952.1765260273974, 0, 0, 684.4675790440292, 0, 0, 0, 0, 0, 0]",2229532.1858175057,2247575.0728696017,2455389.0723173628
spring,1000,59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1046.0684873534246, 0, 0, 557.193986626778, 0, 0, 33.38163109122537, 0, 0, 0, 0]",2549089.498949929,2566107.569927525,2773921.569375286
spring,1500,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2333.4553696145204, 121.51078799262193, 0, 0, 0, 0, 0, 0]",21339808.87028857,21366873.200866714,21678594.200038355
spring,1500,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1322.5555726027396, 1132.4105850044, 0, 0, 0, 0, 0, 0]",3180179.9378447346,3207244.2684228783,3518965.26759452
spring,1500,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 313.573426038788, 0, 0, 2091.320284931507, 0, 0, 0, 0, 0, 0, 50.07244663684738]",6583816.878296225,6608217.35471329,6919938.353884933
spring,1500,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 719.6923557609459, 5.922670277852017, 0, 1679.2786849315069, 0, 50.07244663683643, 0, 0, 0, 0, 0]",3182744.3354578554,3208271.4419242484,3519992.4410958905
spring,1500,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1718.7696244273973, 0, 736.1965331797426, 0, 0, 0, 0, 0, 0]",3927309.3470945186,3954373.6776726623,4266094.676844304
spring,1500,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 424.0504872312512, 0, 0, 2030.9156703758906, 0, 0, 0, 0, 0, 0]",3705753.855467999,3732818.1860461435,4044539.185217785
spring,1500,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2454.966157607137, 0, 0, 0, 0, 0, 0]",6414126.8136145985,6441191.144192742,6752912.143364384
spring,1500,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 335.52859048385494, 0, 0, 1157.450498630137, 961.9870684931508, 0, 0, 0, 0, 0, 0]",2611305.7192337755,2638370.049811919,2950091.048983562
spring,1500,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1839.9777860383563, 0, 0, 614.9883715687864, 0, 0, 0, 0, 0, 0]",5350696.6967969285,5377761.027375073,5689482.026546716
spring,1500,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1274.9533150684933, 0, 947.8042937538864, 0, 232.20854878476274, 0, 0, 0, 0, 0, 0]",2606253.945113228,2633318.275691372,2945039.274863014
spring,1500,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1997.0771457972605, 0, 457.88901180988125, 0, 0, 0, 0, 0, 0]",4811249.019120584,4838313.349698728,5150034.34887037
spring,1500,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 670.6800000000001, 0, 0, 692.2184547945207, 0, 673.4229041095891, 418.64479870303205, 0, 0, 0, 0, 0, 0]",1780097.4821324064,1807161.8127105506,2118882.8118821923
spring,1500,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 206.76273069652814, 0, 1171.324168562433, 1026.8068117113392, 0, 0, 0, 0, 50.07244663684147, 0, 0]",3411582.1330058007,3437109.239472194,3748830.2386438358
