Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice
spring,3000,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151.02865439138708, 0, 1274.9533150684933, 1244.9548724739316, 726.8802018348409, 1234.9357457833505, 277.1795256622822, 0, 0, 0, 0, 0, 0]",2267468.615363442,2321597.27651973,2945039.274863014
spring,5000,17,"[0, 0, 0, 0, 0, 0, 0, 0, 157.46633685294537, 206.9588654853366, 325.22567756519334, 1263.7331506849314, 0, 1274.9533150684933, 1273.6987397260273, 1256.9424657534246, 1241.3697534246576, 1182.8722191780823, 0, 0, 1.6180489519233555e-06, 0, 0, 0]",1836927.1244264392,1905969.277624208,2945039.274863014
spring,7000,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 841.3102065193802, 1261.6175342465756, 1263.7331506849314, 1246.536, 1274.9533150684933, 1273.6987397260273, 1256.9424657534246, 1241.3697534246576, 1182.8722191780823, 0, 613.4753508984307, 0, 0, 0, 0]",1485703.29947811,1490341.278728686,2945039.274863014
spring,9000,17,"[0, 0, 0, 0, 0, 0, 0, 0, 132.1272694926082, 1245.615780821918, 1261.6175342465756, 1263.7331506849314, 1246.536, 1274.9533150684933, 1273.6987397260273, 1256.9424657534246, 1241.3697534246576, 1182.8722191780823, 909.3600000000001, 619.7641768872451, 722.7537534246576, 595.7664657534247, 0, 474.5520000000001]",1148175.707192483,1074713.2798331636,2945039.274863014
spring,1000,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172.966425740798, 213.75665338662432, 0, 857.770890297092, 392.15013564691276, 0, 0, 0, 0, 0, 0]",5678174.718935759,5696217.605987855,5904031.605435617
spring,3000,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1743.4600161215706, 2195.4417534246577, 842.8272421624748, 128.20330350558183, 0, 0, 0, 0, 0, 0]",5226460.945936045,5280589.607092334,5904031.605435617
spring,5000,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 909.0645506374794, 0, 2203.41895890411, 153.98477553058314, 2195.4417534246577, 2156.5010746060743, 564.8094122542373, 0, 0, 0, 0, 0, 0]",4774747.172936331,4864961.60819681,5904031.605435617
spring,7000,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2156.2220712328767, 0, 2203.41895890411, 2207.357852054795, 521.7034313904107, 2181.802389041096, 2186.0040328767127, 0, 0, 0, 0, 0, 0]",4323033.399936616,4449333.60930129,5904031.605435617
spring,9000,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2156.2220712328767, 1599.0524719601392, 2203.41895890411, 2207.357852054795, 2195.4417534246577, 2181.802389041096, 2186.0040328767127, 0.49734007274390224, 0, 7.607572507321488e-05, 0, 0, 0]",3920425.808501836,4033705.6104057673,5904031.605435617
spring,1000,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.838190988717952, 0, 9.062312921817602, 0, 1410.7328384795778, 145.63807882852907, 67.372683852784, 0, 0, 0, 0, 0, 0]",5463625.140046858,5481668.027098955,5689482.026546716
spring,3000,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.228381521947577, 0, 0, 1839.9217801312461, 1896.5639393205483, 742.5714395126588, 422.6467747278851, 0, 0, 0, 0, 0, 0]",5011911.367047143,5066040.028203432,5689482.026546716
spring,5000,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 512.4864474554138, 0, 1868.254236547945, 1839.9777860383563, 1896.5639393205483, 1870.3053654136988, 195.63275058117802, 0, 0, 0, 0, 0, 0]",4560197.59404743,4650412.02930791,5689482.026546716
spring,7000,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1846.7419683835615, 254.21848363150437, 1868.254236547945, 1839.9777860383563, 1896.5639393205483, 1870.3053654136988, 1880.4469561643834, 0, 0, 0, 0, 0, 0]",4116288.3284952035,4234784.030412389,5689482.026546716
spring,9000,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1673.666785863759, 1846.7419683835615, 1853.1152020273976, 1868.254236547945, 1839.9777860383563, 1896.5639393205483, 1870.3053654136988, 1880.4469561643834, 0.7247058832031216, 0, 0, 0, 0, 0]",3765064.503546875,3819156.0315168668,5689482.026546716
spring,1000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 672.7964843051568, 0, 29.35598064130152, 621.482410331918, 313.0092297930512, 0, 0, 0, 0, 0, 0]",21452737.313538495,21470780.200590596,21678594.200038355
spring,3000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2823.150455252083, 224.45585010375552, 1059.6772524120413, 623.2072928418736, 179.4414646045314, 0, 0, 0, 0, 0, 0]",21001023.54053878,21055152.201695073,21678594.200038355
spring,5000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.676613824737826, 0, 0, 6122.066681422998, 1175.8629153197412, 526.2369410093019, 346.377373780362, 0, 0, 0, 0, 0, 0]",20549309.76753907,20639524.20279955,21678594.200038355
spring,7000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5603.3826862938795, 1879.4310453820162, 1993.2001112464393, 734.7571522338131, 1245.7377403438509, 0, 0, 0, 0, 0, 0]",20097595.994539354,20223896.20390403,21678594.200038355
spring,9000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6867.535956164383, 0, 4844.155066725816, 115.14414210596485, 2902.961780646689, 0, 0, 0, 0, 0, 0]",19645882.22153964,19808268.205008507,21678594.200038355
spring,1000,50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 833.800599358904, 105.08589480392719, 0, 622.3054390168838, 75.4521718917131, 0, 0, 0, 0, 0, 0]",2487800.5319352937,2505843.418987389,2713657.4184351503
spring,3000,50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 824.6108148723288, 0, 833.800599358904, 813.9143263243836, 821.1390308964383, 870.0361643835618, 746.4313793786689, 0, 0, 0, 0, 0, 0]",2036086.7589355793,2090215.4200918672,2713657.4184351503
spring,5000,50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 605.795714802319, 820.2065275221918, 824.6108148723288, 845.1870904109591, 833.800599358904, 813.9143263243836, 821.1390308964383, 870.0361643835618, 970.1986191780821, 0, 0.030840304253064246, 0, 778.3007973037196, 0, 0]",1677993.2797254084,1674587.421196345,2713657.4184351503
spring,7000,50,"[0, 0, 0, 0, 0, 0, 0, 0, 42.57804737276511, 828.9520362849315, 820.2065275221918, 824.6108148723288, 845.1870904109591, 833.800599358904, 813.9143263243836, 821.1390308964383, 870.0361643835618, 970.1986191780821, 338.0591556055557, 1141.611484931507, 1164.7832547945206, 1141.431583561644, 0, 0]",1326769.4547773192,1258959.4223008228,2713657.4184351503
spring,9000,50,"[0, 0, 0, 0, 0, 0, 0, 0, 300.815570468191, 828.9520362849315, 820.2065275221918, 824.6108148723288, 0, 833.800599358904, 813.9143263243836, 821.1390308964383, 0, 970.1986191780821, 1073.5756273972602, 826.7959533500891, 1164.7832547945206, 0, 0, 0]",1587148.5320668083,843331.4234053008,2713657.4184351503
spring,1000,58,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.522590122952096, 0, 418.72822245298516, 0, 927.9857095890411, 0.007064682621941318, 283.4005182238278, 0, 0, 0, 0, 0, 0]",2229532.1858175057,2247575.0728696017,2455389.0723173628
spring,3000,58,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 930.0539835616439, 0, 938.6452887738512, 952.1765260273974, 927.9857095890411, 939.2413808219179, 221.8294264404344, 0, 0, 0, 0, 0, 0]",1777818.4128177916,1831947.07397408,2455389.0723173628
spring,5000,58,"[0, 0, 0, 0, 0, 0, 0, 0, 60.611679056396255, 648.2627915734896, 912.6449753424658, 930.0539835616439, 942.660690410959, 938.8969643835617, 952.1765260273974, 927.9857095890411, 939.2413808219179, 929.9847452054796, 0.6881045694910078, 0, 0, 0.012974815298495347, 0, 0]",1404846.493142158,1416319.0750785577,2455389.0723173628
spring,7000,58,"[0, 0, 0, 0, 0, 0, 0, 0, 154.07243057364212, 917.5054974487672, 912.6449753424658, 930.0539835616439, 942.660690410959, 938.8969643835617, 920.068745031966, 927.9857095890411, 939.2413808219179, 929.9847452054796, 693.2364002715861, 601.9682681769114, 739.339594520548, 706.169095890411, 0, 0]",1076355.9683536782,1000691.076183035,2455389.0723173628
spring,9000,58,"[0, 0, 0, 0, 0, 0, 0, 0, 300.815570468191, 917.5054974487672, 912.6449753424658, 0, 942.660690410959, 0, 952.1765260273974, 927.9857095890411, 0, 929.9847452054796, 825.6389917808219, 540.9649264677092, 739.339594520548, 0, 555.8419726027398, 0]",1464685.5022442716,585063.077287513,2455389.0723173628
summer,1000,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.07546563682073648, 0, 0, 42.95853442538588, 778.7645139203657, 164.70108171931122, 530.6106089894222, 0.059469947295765976, 0.24240581408272752, 11.466924951012597, 0, 0, 0]",4568020.39104426,4616280.7773433225,4903101.777893508
summer,3000,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1691.1316602739726, 3.2812010740483966, 868.1793095738268, 1733.827058300505, 254.91138485156907, 34.75598758144321, 0, 0, 0.5504145557247019, 0, 0]",3897857.61734577,4042638.7762429537,4903101.777893508
