Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice
spring,1000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3967327811374584, 0, 0, 769.5816705639045, 49.3346825961154, 445.43236837129734, 370.89865075897364, 0, 0, 0, 0, 0, 0]",21452737.313538495,21470780.200590596,21678594.200038355
spring,2000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 738.2034843557245, 764.1660659924624, 23.869153371900595, 1658.3507394315047, 88.69876699126263, 0, 0, 0, 0, 0, 0]",21226880.42703864,21262966.201142833,21678594.200038355
spring,3000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1210.3221471547495, 0, 86.61462035857608, 214.15984521931398, 2880.513711217035, 285.5131202966124, 232.80887096799577, 0, 0, 0, 0, 0, 0]",21001023.54053878,21055152.201695073,21678594.200038355
spring,4000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1898.7674537392006, 0, 0.001927766697961579, 2054.8741700200526, 436.2912998183665, 1648.0535697748455, 508.5879966804175, 0, 2.4861308786150274e-06, 0, 0, 0, 0]",20775166.65411525,20847338.20224731,21678594.200038355
spring,5000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5236.412066439369, 0, 954.3712928908081, 1063.6278996320202, 928.8092663949312, 0, 0, 0, 0, 0, 0]",20549309.76753907,20639524.20279955,21678594.200038355
spring,6000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6598.538017995006, 1997.7251067989637, 1223.601505634599, 0, 0, 0, 0, 0, 0]",20323452.88103921,20431710.20335179,21678594.200038355
spring,7000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.526467411435511, 0, 0, 0, 0, 6892.724515068494, 4559.257753020067, 0, 0, 0, 0, 0, 0]",20097595.994539354,20223896.20390403,21678594.200038355
spring,8000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.160142392600815, 0, 36.65539019961633, 217.42504304592794, 5013.495318781691, 6412.925990188999, 1403.4909559625883, 0, 0, 0, 0, 0, 0]",19871739.1080395,20016082.204456266,21678594.200038355
spring,9000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1809.905066001676, 0, 1470.9416872505192, 0, 6888.716654882752, 2340.6640917172517, 2219.569445790648, 0, 0, 0, 0, 0, 0]",19645882.221539643,19808268.205008507,21678594.200038355
spring,10000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 515.8974557271823, 0, 1840.670559524079, 6662.145487896728, 3935.734996704333, 2607.7362122659492, 804.2563385960112, 0, 0, 0, 0, 0, 0]",19420025.335039783,19600454.205560744,21678594.200038355
spring,1000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129.2095783569879, 0, 825.011926640149, 165.32846082315274, 229.21597392092406, 135.90656198076292, 151.97160334945164, 0, 0, 0, 0, 0, 0]",3293108.381094663,3311151.268146759,3518965.26759452
spring,2000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 389.25956906639203, 0, 1374.3139068493151, 0, 0, 1321.768759260106, 187.94597496704333, 0, 0, 0, 0, 0, 0]",3067251.494594806,3103337.268698998,3518965.26759452
spring,3000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1332.7899054218162, 0, 0, 1353.5459506849315, 539.81729948447, 1248.0853441443116, 435.69381547875525, 0, 0, 0, 0, 0, 0]",2841394.608094949,2895523.2692512367,3518965.26759452
spring,4000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1359.1027726027396, 0, 1374.3139068493151, 1353.5459506849315, 1340.6534136986302, 870.6077907501954, 248.35258569990143, 0, 0, 0, 0, 0, 0]",2615537.7215950917,2687709.2698034756,3518965.26759452
spring,5000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1359.1027726027396, 159.02921550677894, 1374.3139068493151, 1353.5459506849315, 1340.6534136986302, 1322.5555726027396, 1269.6113095890412, 0, 0, 0, 4.408383822965249, 0, 0]",2394698.369394658,2479895.270355715,3518965.26759452
spring,6000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 52.956265077081255, 1.479413157690883, 373.4128206869498, 1359.1027726027396, 1372.2332054794522, 1374.3139068493151, 1353.5459506849315, 1340.6534136986302, 1322.5555726027396, 1269.6113095890412, 0, 0, 0, 0, 0, 0]",2219086.4569204934,2272081.2709079534,3518965.26759452
spring,7000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 709.9027519383562, 1354.5898520547946, 1359.1027726027396, 1372.2332054794522, 1374.3139068493151, 1353.5459506849315, 1340.6534136986302, 1322.5555726027396, 1269.6113095890412, 0, 0, 0, 0, 0, 0]",2043474.5444463294,2064267.2714601925,3518965.26759452
spring,8000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1209.4128649454715, 1354.5898520547946, 1359.1027726027396, 1372.2332054794522, 1374.3139068493151, 1353.5459506849315, 1340.6534136986302, 1322.5555726027396, 1269.6113095890412, 0, 224.66477562595443, 912.4692164383564, 0, 0, 0]",1867862.631972165,1856453.2720124314,3518965.26759452
spring,9000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1357.4410520547945, 1354.5898520547946, 1359.1027726027396, 1372.2332054794522, 1374.3139068493151, 1353.5459506849315, 1340.6534136986302, 1322.5555726027396, 1269.6113095890412, 526.7167105346114, 361.487774834272, 912.4692164383564, 0, 0, 825.0762082191782]",1710814.9341829324,1648639.27256467,3518965.26759452
spring,10000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 173.38455940579024, 1357.4410520547945, 1354.5898520547946, 1359.1027726027396, 1372.2332054794522, 1374.3139068493151, 1353.5459506849315, 1340.6534136986302, 1322.5555726027396, 1269.6113095890412, 733.4444457917501, 0, 912.4692164383564, 444.79151413751356, 0, 0]",1731056.8561953485,1440825.2731169092,3518965.26759452
spring,1000,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 257.2515087445507, 0, 0.5120287060308567, 573.2218499648412, 348.6339625903488, 383.86238228447587, 73.16237278118012, 0, 0, 0, 0, 0, 0]",6694081.467385073,6712124.35443717,6919938.353884933
spring,2000,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17.30245050374709, 0, 0, 0, 2160.2414465753427, 1025.3568087940657, 70.38750426970039, 0, 0, 0, 0, 0, 0]",6468224.580885217,6504310.354989409,6919938.353884933
spring,3000,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2151.303189041096, 445.3039555991938, 0, 2090.566017242636, 222.75915333136007, 0, 0, 0, 0, 0, 0]",6242367.69438536,6296496.355541648,6919938.353884933
spring,4000,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 539.4138934426063, 0, 2151.303189041096, 0, 2160.2414465753427, 1162.806852258079, 532.8110389685878, 0, 0, 0, 0, 0, 0]",6016510.807885503,6088682.356093887,6919938.353884933
