num,weather_condition,best_position,best_fitness,before_price,before_optimal,optimal,optiaml_per
7,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2000.5851523647057, 1983.4471112235294, 1983.1194262235294, 1900.0138831764707, 1813.0039411764706, 0, 0, 0, 393.5963666879981, 0, 0]",2679263.9282373856,4057360.2113377373,2792481.821648731,113217.89341134531,4.05438246844162
7,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2000.5851523647057, 1983.4471112235294, 1983.1194262235294, 0, 0, 1498.4946260000002, 1262.674694117647, 1104.187491717647, 0, 241.25737920529573, 0]",3483088.06387594,5470412.672837496,3590205.885985866,107117.82210992603,2.9836122359459507
7,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1965.557833317647, 0, 0, 0, 1900.0138831764707, 1813.0039411764706, 1498.4946260000002, 1262.674694117647, 1104.187491717647, 0, 529.8334113468317, 0]",3226938.167125243,5195352.020243755,3564824.19979125,337886.0326660066,9.478336482505718
10,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1733.3350080147554, 0, 0, 2622.2036712482354, 2581.5610115364707, 0, 0, 2497.412187135294, 0, 0, 639.2540029176471, 0, 0]",2745909.251859146,4131598.417294445,2866720.0276054386,120810.77574629243,4.214250941247488
10,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2642.4185294117647, 0, 0, 2559.8773716835294, 756.4861509631119, 2497.412187135294, 0, 1086.0403764705882, 0, 531.5312651882354, 0]",2766338.271675662,4131598.417294445,2866720.0276054386,100381.75592977647,3.501623980128433
10,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1966.5027928501224, 0, 2581.5610115364707, 2559.8773716835294, 0, 2497.412187135294, 0, 0, 0, 0, 468.4125176470588]",3818160.021853637,5969138.072582658,4088931.2857310288,270771.2638773918,6.6220546386360395
10,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 483.4892758942644, 0, 0, 2559.8773716835294, 2548.891093197647, 2497.412187135294, 1984.0959529411764, 0, 0, 0, 0]",3548594.2178907576,5489207.437645301,3858679.6171927955,310085.3993020379,8.036049376071968
11,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4475.692800000001, 4432.858729411765, 1018.942245269955, 0, 0, 146.27187130035503, 0, 0, 0]",5569198.007453258,6957927.090974119,5693048.701285111,123850.69383185264,2.1754722351820988
11,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1313.2345060482992, 4432.858729411765, 0, 4280.423717647059, 0, 0, 0, 0, 47.24892064826207]",5569197.960915495,6957927.090974119,5693048.701285111,123850.74036961608,2.175473052630989
11,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4475.692800000001, 1076.469134676591, 4375.3315764705885, 0, 0, 0, 146.27235539768856, 0, 0]",7878774.533625541,10089109.139124706,8208902.352273077,330127.8186475355,4.021582965426819
