Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice,optimal_rate,save_price
spring,3500,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1240.554460673778, 0, 4369.182753825202, 0.5947750116914027, 22.517052588916446, 0, 6.939325003129387, 82.26436339142548, 0.5302498256793113]",20894204.9925623,20951245.201971192,21678594.200038355,0.272252120859737,57040.209408890456
spring,3500,2,"[0, 0, 0, 0, 0, 0, 0, 0, 109.29704700037585, 266.03472963059596, 0, 1296.4303315581399, 0, 0, 0, 1340.6534136986302, 188.16244550167937, 1269.6113095890412, 0, 0, 0, 0, 841.2850849315068, 0]",2842260.8577118716,2791616.2695273566,3518965.26759452,-1.8141672527610522,-50644.588184515014
spring,3500,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1223.1219738315344, 0, 1116.8064147702223, 2144.92615890411, 0, 0, 0, 0, 0, 841.1468384288756, 0, 386.5622001965411, 0]",6177992.895989036,6192589.355817768,6919938.353884933,0.23570850560305007,14596.459828731604
spring,3500,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1630.1727123287674, 718.0914839470798, 1733.7698630136988, 0, 0, 1525.2233424657536, 0, 0, 0, 0, 0, 0]",2796237.221922152,2792643.443028726,3519992.4410958905,-0.12868735184927416,-3593.7788934260607
spring,3500,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 277.58924845353556, 1703.2197488109593, 0, 0, 0, 1718.7696244273973, 0, 0, 1274.8018433972604, 746.029843626152, 0, 0, 0, 0]",3547239.5769607346,3538745.6787771406,4266094.676844304,-0.24002567447935869,-8493.898183593992
spring,3500,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2115.622652054795, 0, 2059.8814901983565, 809.701256504409, 737.3380334094545, 0, 0, 0, 0, 0, 0]",3254828.191578737,3317190.1871506213,4044539.185217785,1.879964429336855,62361.99557188433
spring,3500,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1327.1042244071305, 1814.347052900942, 1853.4183600696538, 0, 656.875913277184, 0, 0, 0, 0, 0, 0]",5972971.257374006,6025563.145297219,6752912.143364384,0.8728128252088636,52591.88792321272
spring,3500,13,"[0, 0, 0, 0, 0, 0, 0, 0, 116.8875406364624, 0, 0, 1212.2393424657535, 415.0453867796454, 1166.0218520547944, 1181.5330191780822, 0, 0, 961.9870684931508, 0, 0, 0, 0, 0, 664.0544219178082]",2212697.0139507176,2222742.050916398,2950091.048983562,0.45192094879110756,10045.036965680309
spring,3500,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1599.0964117532317, 0, 499.9747998111768, 0, 1896.5639393205483, 1455.000317270149, 0, 0, 0, 0, 0, 0, 277.2833829648362]",4913780.701065893,4962133.028479551,5689482.026546716,0.974426262579932,48352.32741365768
spring,3500,17,"[0, 0, 0, 0, 0, 0, 0, 0, 58.46419618083201, 0, 1076.3418494777377, 23.137452276024202, 697.594465679649, 0, 1273.6987397260273, 1256.9424657534246, 0, 0, 909.3600000000001, 320.5292401318762, 19.77085382660713, 0, 79.32261475313595, 0]",2255186.159413356,2217690.2767958497,2945039.274863014,-1.6907628179567429,-37495.8826175062
