y_true,y_pred
2.5854297e-05,17.153652
2.5854297e-05,32.822353
2.5854297e-05,41.79269
2.5854297e-05,18.932339
2.5854297e-05,-38.005466
2.5854297e-05,-41.018467
2.5854297e-05,-80.6851
2.5854297e-05,-111.31803
2.5854297e-05,-93.65159
2.5854297e-05,27.768093
49.199978,387.8711
299.6,994.283
553.6,1428.9613
402.80002,1389.9717
735.2,1409.8365
502.4,1347.1947
1004.0,1079.8807
440.0,616.7432
168.80002,185.92636
2.5854297e-05,-23.122349
2.5854297e-05,-37.10233
2.5854297e-05,-26.54581
2.5854297e-05,-16.43369
2.5854297e-05,-1.2638291
2.5854297e-05,31.976467
2.5854297e-05,15.497645
2.5854297e-05,-10.595983
2.5854297e-05,-3.7364855
2.5854297e-05,-17.887486
2.5854297e-05,-53.25455
2.5854297e-05,-71.82749
2.5854297e-05,-70.61857
2.5854297e-05,-61.53641
2.5854297e-05,81.20962
556.0,564.2141
1884.8,1706.5098
2858.8,2732.674
3320.4,3186.6897
3487.2,3411.9424
3252.4001,3370.7734
2737.2,2881.036
1839.2001,1975.3379
779.2,820.40656
72.80001,90.27114
2.5854297e-05,-65.50541
2.5854297e-05,-65.585915
2.5854297e-05,-34.37418
2.5854297e-05,-22.923557
2.5854297e-05,-41.715183
2.5854297e-05,-33.40775
2.5854297e-05,-12.41068
2.5854297e-05,-5.911229
2.5854297e-05,-25.404942
2.5854297e-05,-42.1348
2.5854297e-05,-55.815403
2.5854297e-05,-77.19022
2.5854297e-05,-59.52994
2.5854297e-05,130.08109
478.0,725.9674
1843.6,1935.4586
2614.4001,2969.4192
3238.4001,3465.2268
3271.6,3685.2173
3267.2002,3558.9062
2702.4,3146.06
2024.8,2303.0498
954.39996,1172.7522
110.40005,270.97888
2.5854297e-05,-45.45859
2.5854297e-05,-105.152626
2.5854297e-05,-94.15104
2.5854297e-05,-77.8223
2.5854297e-05,-66.700356
2.5854297e-05,-26.343967
2.5854297e-05,-2.9552965
2.5854297e-05,13.109767
2.5854297e-05,29.984585
2.5854297e-05,51.420864
2.5854297e-05,12.289393
2.5854297e-05,-24.92374
2.5854297e-05,-18.409885
20.000027,160.96872
686.8,757.3795
1731.2001,1859.7627
2448.0,2957.253
3645.2002,3340.6577
3701.6,3555.0747
3474.4,3525.7698
2936.4001,3172.5398
2354.4,2418.647
1224.0,1246.5066
102.80001,226.3461
2.5854297e-05,-72.36973
2.5854297e-05,-90.82603
2.5854297e-05,-67.613075
2.5854297e-05,-44.4166
2.5854297e-05,-32.910557
2.5854297e-05,-4.8740587
2.5854297e-05,26.173
2.5854297e-05,54.758755
2.5854297e-05,62.668056
2.5854297e-05,50.253628
2.5854297e-05,-8.699864
2.5854297e-05,-41.467136
2.5854297e-05,-24.314365
2.5854297e-05,188.92221
211.19998,775.2043
957.6,2042.6866
2563.5999,2982.222
2965.6,3445.236
2886.8,3631.6108
3090.0002,3573.6768
3014.0,3237.9648
2269.2,2383.8174
1290.8,1196.2915
101.99996,225.93442
2.5854297e-05,-57.47153
2.5854297e-05,-87.98344
2.5854297e-05,-67.87528
2.5854297e-05,-36.659153
2.5854297e-05,-30.652256
2.5854297e-05,5.8211927
