y_true,y_pred
2.5854297e-05,-18.240757
2.5854297e-05,6.576625
2.5854297e-05,11.288234
2.5854297e-05,-4.9565783
2.5854297e-05,-46.219456
2.5854297e-05,-46.41141
2.5854297e-05,-41.692905
2.5854297e-05,-28.046848
2.5854297e-05,12.958217
2.5854297e-05,148.48636
49.199978,423.8641
299.6,830.6155
553.6,1208.3773
402.80002,1359.7345
735.2,1391.0216
502.4,1200.0538
1004.0,824.5329
440.0,419.58786
168.80002,123.66592
2.5854297e-05,-4.778722
2.5854297e-05,-49.837803
2.5854297e-05,-77.922585
2.5854297e-05,-75.026344
2.5854297e-05,-50.94724
2.5854297e-05,-16.672703
2.5854297e-05,2.967494
2.5854297e-05,-9.629979
2.5854297e-05,-11.23618
2.5854297e-05,-21.849644
2.5854297e-05,-36.32169
2.5854297e-05,-28.808628
2.5854297e-05,-0.7389878
2.5854297e-05,43.808132
2.5854297e-05,145.64871
556.0,403.94138
1884.8,1174.2214
2858.8,2321.2324
3320.4,3056.3142
3487.2,3297.2598
3252.4001,3178.2476
2737.2,2575.8596
1839.2001,1630.8297
779.2,632.49207
72.80001,114.56637
2.5854297e-05,-84.41404
2.5854297e-05,-94.509926
2.5854297e-05,-68.34562
2.5854297e-05,-53.80057
2.5854297e-05,-45.21628
2.5854297e-05,-18.111118
2.5854297e-05,-0.13712014
2.5854297e-05,1.5304214
2.5854297e-05,-6.376317
2.5854297e-05,-4.1773424
2.5854297e-05,10.756373
2.5854297e-05,22.272243
2.5854297e-05,58.165676
2.5854297e-05,176.91116
478.0,520.04205
1843.6,1474.0065
2614.4001,2690.3308
3238.4001,3396.5002
3271.6,3648.7983
3267.2002,3424.9849
2702.4,2909.2256
2024.8,1964.2018
954.39996,924.5796
110.40005,249.89093
2.5854297e-05,-36.54227
2.5854297e-05,-132.63809
2.5854297e-05,-131.49417
2.5854297e-05,-100.89457
2.5854297e-05,-77.03031
2.5854297e-05,-31.746922
2.5854297e-05,-19.651218
2.5854297e-05,-16.792942
2.5854297e-05,-6.9759264
2.5854297e-05,14.296901
2.5854297e-05,11.754054
2.5854297e-05,19.856777
2.5854297e-05,56.446255
20.000027,164.08401
686.8,496.26288
1731.2001,1379.3739
2448.0,2728.325
3645.2002,3298.9846
3701.6,3537.085
3474.4,3456.6936
2936.4001,3047.0278
2354.4,2256.0469
1224.0,1093.0099
102.80001,223.03476
2.5854297e-05,-81.432655
2.5854297e-05,-121.20243
2.5854297e-05,-106.6345
2.5854297e-05,-79.46024
2.5854297e-05,-60.698338
2.5854297e-05,-33.348423
2.5854297e-05,-18.227634
2.5854297e-05,-0.99130714
2.5854297e-05,7.37704
2.5854297e-05,9.475856
2.5854297e-05,-3.142064
2.5854297e-05,6.1834364
2.5854297e-05,37.753628
2.5854297e-05,138.77536
211.19998,408.0245
957.6,1420.8641
2563.5999,2659.2554
2965.6,3342.0918
2886.8,3543.8662
3090.0002,3453.1028
3014.0,3090.3152
2269.2,2181.3086
1290.8,1015.29224
101.99996,219.67435
2.5854297e-05,-65.820045
2.5854297e-05,-123.78672
2.5854297e-05,-111.47471
2.5854297e-05,-76.36753
2.5854297e-05,-59.12412
2.5854297e-05,-20.593601
2.5854297e-05,0.053065404
2.5854297e-05,0.6702529
2.5854297e-05,-4.923497
2.5854297e-05,-14.032384
2.5854297e-05,-12.337804
2.5854297e-05,-5.5020494
2.5854297e-05,-18.44321
2.5854297e-05,-1.2077988
566.0,292.5382
2042.0001,1488.0867
3286.8,2908.775
3475.2,3660.364
2967.6,3926.5334
3422.4001,3879.324
2868.4,3471.8274
1306.4,2628.086
750.0,1359.1333
157.6,332.13046
2.5854297e-05,-44.538914
2.5854297e-05,-138.25272
2.5854297e-05,-137.04636
2.5854297e-05,-101.162575
2.5854297e-05,-71.75706
2.5854297e-05,-27.81705
2.5854297e-05,-6.9120836
2.5854297e-05,-6.645482
2.5854297e-05,-3.2725573
2.5854297e-05,-4.5701036
2.5854297e-05,17.51736
2.5854297e-05,38.29562
2.5854297e-05,101.59676
2.5854297e-05,185.48709
769.2,618.00494
2440.0,1689.8524
3332.4001,2694.1282
3750.4001,3300.8735
3792.8,3554.8547
3616.0,3353.4338
3202.8,2874.1882
2500.4,1974.7994
1384.0,904.9655
130.80002,128.52121
2.5854297e-05,-109.113075
2.5854297e-05,-127.698524
2.5854297e-05,-89.12455
2.5854297e-05,-53.464817
2.5854297e-05,-30.597996
2.5854297e-05,0.7228652
2.5854297e-05,-3.9806871
2.5854297e-05,-11.307347
2.5854297e-05,-16.895542
2.5854297e-05,-16.509861
2.5854297e-05,1.1232558
2.5854297e-05,45.514797
2.5854297e-05,106.58242
1.199977,422.3055
576.8,1247.5637
1370.8,1962.6987
2404.4,2564.8206
3048.4,3075.2725
3240.8,3189.222
2657.2,2567.0784
1701.2,1922.6008
980.0,1107.7764
830.0,480.5563
108.80001,55.305874
