y_true,y_pred
2.5854297e-05,94.336266
2.5854297e-05,86.73348
2.5854297e-05,63.689175
2.5854297e-05,109.83297
2.5854297e-05,68.54366
2.5854297e-05,3.967372
2.5854297e-05,0.7895156
2.5854297e-05,77.464134
2.5854297e-05,166.431
2.5854297e-05,364.22363
49.199978,728.8363
299.6,1149.3925
553.6,1434.0248
402.80002,1562.1615
735.2,1601.3855
502.4,1547.9764
1004.0,1238.8301
440.0,830.47906
168.80002,542.9894
2.5854297e-05,387.75888
2.5854297e-05,264.12778
2.5854297e-05,146.88162
2.5854297e-05,80.17538
2.5854297e-05,49.264248
2.5854297e-05,62.25308
2.5854297e-05,97.98196
2.5854297e-05,48.021267
2.5854297e-05,114.30361
2.5854297e-05,118.743004
2.5854297e-05,68.474815
2.5854297e-05,89.15237
2.5854297e-05,175.38303
2.5854297e-05,337.30264
2.5854297e-05,621.7852
556.0,1070.9597
1884.8,1802.6986
2858.8,2501.656
3320.4,3145.8083
3487.2,3404.6619
3252.4001,3161.3992
2737.2,2429.8853
1839.2001,1678.3604
779.2,936.67676
72.80001,514.0443
2.5854297e-05,99.72585
2.5854297e-05,54.131313
2.5854297e-05,88.42849
2.5854297e-05,66.54012
2.5854297e-05,51.909145
2.5854297e-05,83.18783
2.5854297e-05,114.797935
2.5854297e-05,151.72299
2.5854297e-05,134.37057
2.5854297e-05,93.605675
2.5854297e-05,121.94161
2.5854297e-05,138.59158
2.5854297e-05,270.9305
2.5854297e-05,633.35077
478.0,1096.0367
1843.6,1939.6865
2614.4001,2945.8594
3238.4001,3813.2024
3271.6,4145.163
3267.2002,3729.8008
2702.4,2925.5544
2024.8,2027.8511
954.39996,1314.907
110.40005,823.43756
2.5854297e-05,472.175
2.5854297e-05,166.89413
2.5854297e-05,61.44235
2.5854297e-05,35.377407
2.5854297e-05,29.26144
2.5854297e-05,96.89193
2.5854297e-05,84.97286
2.5854297e-05,101.12881
2.5854297e-05,127.26235
2.5854297e-05,174.98141
2.5854297e-05,156.10019
2.5854297e-05,154.7062
2.5854297e-05,274.83688
20.000027,670.64465
686.8,1131.0537
1731.2001,1743.5093
2448.0,3009.7256
3645.2002,3751.6865
3701.6,4024.2864
3474.4,3674.6797
2936.4001,3002.0708
2354.4,2186.5417
1224.0,1301.4764
102.80001,635.8074
2.5854297e-05,297.87732
2.5854297e-05,166.00418
2.5854297e-05,107.20095
2.5854297e-05,81.7792
2.5854297e-05,89.009544
2.5854297e-05,91.6675
2.5854297e-05,96.309044
2.5854297e-05,186.98325
2.5854297e-05,223.12271
2.5854297e-05,231.2916
2.5854297e-05,185.5488
2.5854297e-05,229.35074
2.5854297e-05,300.3709
2.5854297e-05,617.4976
211.19998,1056.2556
957.6,2007.4984
2563.5999,3092.9714
2965.6,3818.577
2886.8,3922.4915
3090.0002,3547.6394
3014.0,2911.4167
2269.2,1944.8617
1290.8,1175.2761
101.99996,621.89215
2.5854297e-05,298.42648
2.5854297e-05,144.24619
2.5854297e-05,106.21035
2.5854297e-05,122.72042
2.5854297e-05,142.40665
2.5854297e-05,178.69711
2.5854297e-05,196.52676
2.5854297e-05,228.32877
2.5854297e-05,239.8006
2.5854297e-05,224.0115
2.5854297e-05,233.59293
2.5854297e-05,336.41458
2.5854297e-05,443.03232
2.5854297e-05,639.25964
566.0,1093.2318
2042.0001,2085.9036
3286.8,3234.48
3475.2,3885.5127
2967.6,4043.2659
3422.4001,3716.5154
2868.4,2939.219
1306.4,2026.4703
750.0,1288.4664
157.6,698.4594
2.5854297e-05,397.92285
2.5854297e-05,183.2059
2.5854297e-05,62.287502
2.5854297e-05,35.589565
2.5854297e-05,67.15658
