y_true,y_pred
2.5854297e-05,2.9688368
2.5854297e-05,-8.557958
2.5854297e-05,-0.2743882
2.5854297e-05,-12.943395
2.5854297e-05,-64.4127
2.5854297e-05,-76.13871
2.5854297e-05,-84.677345
2.5854297e-05,-98.726906
2.5854297e-05,-98.52494
2.5854297e-05,26.081753
49.199978,392.95328
299.6,952.6631
553.6,1364.0988
402.80002,1326.4064
735.2,1472.1542
502.4,1379.2528
1004.0,984.32306
440.0,522.2749
168.80002,171.58237
2.5854297e-05,-65.30747
2.5854297e-05,-127.21836
2.5854297e-05,-128.03073
2.5854297e-05,-110.0568
2.5854297e-05,-85.24265
2.5854297e-05,-23.92667
2.5854297e-05,-28.040562
2.5854297e-05,-52.783604
2.5854297e-05,-61.874546
2.5854297e-05,-71.166664
2.5854297e-05,-89.50559
2.5854297e-05,-94.95646
2.5854297e-05,-86.64988
2.5854297e-05,-76.76902
2.5854297e-05,59.859035
556.0,532.9519
1884.8,1469.1454
2858.8,2433.47
3320.4,3148.5364
3487.2,3538.3281
3252.4001,3401.5278
2737.2,2605.579
1839.2001,1556.5992
779.2,682.2999
72.80001,107.84408
2.5854297e-05,-61.078648
2.5854297e-05,-82.764626
2.5854297e-05,-65.91105
2.5854297e-05,-56.577976
2.5854297e-05,-44.645176
2.5854297e-05,-60.64542
2.5854297e-05,-55.801914
2.5854297e-05,-49.660313
2.5854297e-05,-56.389683
2.5854297e-05,-66.74229
2.5854297e-05,-65.803566
2.5854297e-05,-77.66233
2.5854297e-05,-86.7598
2.5854297e-05,64.95541
478.0,591.11646
1843.6,1629.091
2614.4001,2697.7134
3238.4001,3396.3647
3271.6,3657.5571
3267.2002,3508.066
2702.4,2872.8105
2024.8,1868.5563
954.39996,937.20276
110.40005,251.86752
2.5854297e-05,-24.409702
2.5854297e-05,-111.03153
2.5854297e-05,-118.40586
2.5854297e-05,-102.41337
2.5854297e-05,-79.78721
2.5854297e-05,-75.025185
2.5854297e-05,-68.06864
2.5854297e-05,-62.363804
2.5854297e-05,-50.182957
2.5854297e-05,-24.695042
2.5854297e-05,-33.131443
2.5854297e-05,-56.94785
2.5854297e-05,-74.81034
20.000027,73.4385
686.8,560.5014
1731.2001,1514.1475
2448.0,2773.6392
3645.2002,3394.1892
3701.6,3645.3567
3474.4,3535.2295
2936.4001,2934.751
2354.4,1939.5837
1224.0,949.71326
102.80001,208.61362
2.5854297e-05,-66.06016
2.5854297e-05,-121.01145
2.5854297e-05,-110.73441
2.5854297e-05,-84.9296
2.5854297e-05,-58.626133
2.5854297e-05,-67.34855
2.5854297e-05,-59.204258
2.5854297e-05,-33.696568
2.5854297e-05,-11.152623
2.5854297e-05,4.467677
2.5854297e-05,-13.813451
2.5854297e-05,-28.279331
2.5854297e-05,-44.910923
2.5854297e-05,117.648155
211.19998,627.60205
957.6,1738.5709
2563.5999,2775.0842
2965.6,3361.0974
2886.8,3594.5156
3090.0002,3470.7566
3014.0,2885.6619
2269.2,1874.9326
1290.8,901.23505
101.99996,188.11795
2.5854297e-05,-69.395424
2.5854297e-05,-120.97282
2.5854297e-05,-107.30576
2.5854297e-05,-73.4174
2.5854297e-05,-46.270664
2.5854297e-05,-46.685947
2.5854297e-05,-30.653965
2.5854297e-05,-11.997045
2.5854297e-05,2.3714857
2.5854297e-05,4.564296
2.5854297e-05,7.0652723
2.5854297e-05,18.420315
2.5854297e-05,-11.792943
2.5854297e-05,81.33987
566.0,538.40936
2042.0001,1591.2163
3286.8,2724.366
3475.2,3324.4192
2967.6,3550.8003
3422.4001,3457.0933
2868.4,2918.6094
1306.4,1969.1763
750.0,1007.98267
157.6,266.84067
2.5854297e-05,-29.231419
2.5854297e-05,-112.95121
2.5854297e-05,-121.274025
2.5854297e-05,-100.158485
2.5854297e-05,-69.485634
2.5854297e-05,-59.29746
2.5854297e-05,-36.49161
2.5854297e-05,-29.414097
2.5854297e-05,-30.433567
2.5854297e-05,-48.174168
2.5854297e-05,-40.329807
2.5854297e-05,-36.07108
2.5854297e-05,-18.61655
2.5854297e-05,127.059105
769.2,782.24036
2440.0,1942.7506
3332.4001,2835.0469
3750.4001,3298.7246
3792.8,3494.3787
3616.0,3342.3203
3202.8,2771.6108
2500.4,1785.0343
1384.0,856.81195
130.80002,159.58432
2.5854297e-05,-84.09086
2.5854297e-05,-96.1052
2.5854297e-05,-54.944553
2.5854297e-05,-21.966526
2.5854297e-05,3.1286268
2.5854297e-05,-12.923802
2.5854297e-05,-39.282322
2.5854297e-05,-63.618504
2.5854297e-05,-77.6157
2.5854297e-05,-98.02274
2.5854297e-05,-115.049904
2.5854297e-05,-121.19187
2.5854297e-05,-131.87827
1.199977,33.43594
576.8,611.17065
1370.8,1495.8145
2404.4,2514.3408
3048.4,3425.2473
3240.8,3861.9678
2657.2,3478.8538
1701.2,2160.6392
980.0,1223.3162
830.0,628.84985
108.80001,73.173485
2.5854297e-05,-99.638466
2.5854297e-05,-112.43113
2.5854297e-05,-81.92887
2.5854297e-05,-47.00974
2.5854297e-05,-20.826267
2.5854297e-05,-38.315647
2.5854297e-05,-47.353977
2.5854297e-05,-41.64017
2.5854297e-05,-43.09464
2.5854297e-05,-42.710423
2.5854297e-05,-48.024265
2.5854297e-05,-57.46433
2.5854297e-05,-79.2598
2.5854297e-05,58.395535
278.8,534.257
644.4,1439.0825
1733.2001,2562.1687
3238.4001,3393.723
3376.4001,3798.1382
