y_true,y_pred
2.5854297e-05,-9.182775
2.5854297e-05,4.304164
2.5854297e-05,26.52261
2.5854297e-05,25.88229
2.5854297e-05,-34.5629
2.5854297e-05,-6.7519274
2.5854297e-05,47.105984
2.5854297e-05,96.21816
2.5854297e-05,119.7828
2.5854297e-05,273.36722
49.199978,547.9635
299.6,869.9915
553.6,1100.1863
402.80002,1170.128
735.2,1228.3518
502.4,1126.4424
1004.0,852.8427
440.0,532.8035
168.80002,262.0441
2.5854297e-05,117.78878
2.5854297e-05,40.169582
2.5854297e-05,-30.217442
2.5854297e-05,-57.720554
2.5854297e-05,-50.140476
2.5854297e-05,-14.924901
2.5854297e-05,-11.94724
2.5854297e-05,-40.377598
2.5854297e-05,-22.620884
2.5854297e-05,-19.55283
2.5854297e-05,-28.583347
2.5854297e-05,0.62465966
2.5854297e-05,59.343655
2.5854297e-05,128.52542
2.5854297e-05,288.87482
556.0,656.0945
1884.8,1468.11
2858.8,2345.189
3320.4,2900.5144
3487.2,3080.5518
3252.4001,2929.5813
2737.2,2301.023
1839.2001,1453.5226
779.2,631.3511
72.80001,175.16147
2.5854297e-05,-40.926426
2.5854297e-05,-57.233128
2.5854297e-05,-39.026707
2.5854297e-05,-44.89121
2.5854297e-05,-46.01975
2.5854297e-05,-39.835423
2.5854297e-05,-7.12943
2.5854297e-05,2.6425428
2.5854297e-05,-5.417882
2.5854297e-05,17.948452
2.5854297e-05,77.84817
2.5854297e-05,113.325584
2.5854297e-05,193.6188
2.5854297e-05,460.10925
478.0,965.27234
1843.6,1829.5587
2614.4001,2697.94
3238.4001,3244.585
3271.6,3422.772
3267.2002,3129.784
2702.4,2616.1401
2024.8,1810.4442
954.39996,962.99976
110.40005,341.00406
2.5854297e-05,14.630458
2.5854297e-05,-127.82566
2.5854297e-05,-139.63388
2.5854297e-05,-103.70164
2.5854297e-05,-71.87766
2.5854297e-05,-31.472446
2.5854297e-05,-26.768894
2.5854297e-05,-25.745213
2.5854297e-05,4.642665
2.5854297e-05,68.715904
2.5854297e-05,55.645535
2.5854297e-05,60.94705
2.5854297e-05,124.38436
20.000027,337.2564
686.8,781.2459
1731.2001,1520.7256
2448.0,2691.928
3645.2002,3045.4297
3701.6,3186.8
3474.4,3054.857
2936.4001,2655.7861
2354.4,1978.0815
1224.0,1039.2251
102.80001,279.82922
2.5854297e-05,-47.093723
2.5854297e-05,-93.15684
2.5854297e-05,-81.57523
2.5854297e-05,-57.449924
2.5854297e-05,-38.293674
2.5854297e-05,-41.214878
2.5854297e-05,-26.501743
2.5854297e-05,12.971217
2.5854297e-05,38.343044
2.5854297e-05,46.481655
2.5854297e-05,9.306727
2.5854297e-05,34.25955
2.5854297e-05,100.941246
2.5854297e-05,311.38925
211.19998,688.1897
957.6,1748.2078
2563.5999,2706.58
2965.6,3129.8777
2886.8,3179.8862
