y_true,y_pred
2.5854297e-05,165.25516
2.5854297e-05,196.53763
2.5854297e-05,176.2333
2.5854297e-05,143.30612
2.5854297e-05,44.86923
2.5854297e-05,59.410122
2.5854297e-05,31.984951
2.5854297e-05,-42.18381
2.5854297e-05,-35.70328
2.5854297e-05,46.634243
49.199978,465.47433
299.6,1395.7274
553.6,1927.0638
402.80002,1776.9397
735.2,1730.8086
502.4,1748.3173
1004.0,1504.5731
440.0,896.3049
168.80002,243.21536
2.5854297e-05,59.661343
2.5854297e-05,-7.374486
2.5854297e-05,-38.00864
2.5854297e-05,-45.103733
2.5854297e-05,-85.59263
2.5854297e-05,3.0704603
2.5854297e-05,-8.821324
2.5854297e-05,-112.279274
2.5854297e-05,-97.645424
2.5854297e-05,10.847499
2.5854297e-05,-5.1880846
2.5854297e-05,-11.927403
2.5854297e-05,-0.53195655
2.5854297e-05,-7.279454
2.5854297e-05,94.58956
556.0,564.7307
1884.8,1988.5215
2858.8,3084.3005
3320.4,3585.0256
3487.2,3627.515
3252.4001,3512.1848
2737.2,3042.0256
1839.2001,1996.235
779.2,725.28687
72.80001,169.85123
2.5854297e-05,112.32375
2.5854297e-05,85.36703
2.5854297e-05,84.56576
2.5854297e-05,51.94058
2.5854297e-05,6.179286
2.5854297e-05,4.3672132
2.5854297e-05,7.224025
2.5854297e-05,39.164944
2.5854297e-05,70.64077
2.5854297e-05,26.949673
2.5854297e-05,-5.9569445
2.5854297e-05,-25.980076
2.5854297e-05,-12.121556
2.5854297e-05,111.79897
478.0,787.7528
1843.6,2289.184
2614.4001,3273.7383
3238.4001,3762.528
3271.6,3957.8916
3267.2002,3831.5771
2702.4,3402.1562
2024.8,2327.2773
954.39996,1161.982
110.40005,336.1161
2.5854297e-05,98.29134
2.5854297e-05,-5.3890734
2.5854297e-05,-10.6722765
2.5854297e-05,-16.007359
2.5854297e-05,9.986537
2.5854297e-05,7.2267714
2.5854297e-05,-23.721043
2.5854297e-05,-3.3212633
2.5854297e-05,51.53549
2.5854297e-05,43.838223
2.5854297e-05,-26.466099
2.5854297e-05,-34.03879
2.5854297e-05,17.613003
20.000027,173.59201
686.8,780.059
1731.2001,2079.3835
2448.0,3124.9656
3645.2002,3629.1836
3701.6,3738.778
3474.4,3630.38
2936.4001,3324.8398
2354.4,2485.019
1224.0,1282.2495
102.80001,292.4928
2.5854297e-05,61.545315
2.5854297e-05,34.67416
2.5854297e-05,44.912807
2.5854297e-05,38.456203
2.5854297e-05,89.36703
2.5854297e-05,54.529873
2.5854297e-05,45.32449
2.5854297e-05,86.48513
2.5854297e-05,115.422874
2.5854297e-05,57.403774
2.5854297e-05,2.720912
2.5854297e-05,8.813502
2.5854297e-05,47.70486
2.5854297e-05,203.16269
211.19998,830.8628
957.6,2253.5002
2563.5999,3223.7717
2965.6,3775.6218
2886.8,3910.6958
3090.0002,3749.0247
3014.0,3371.2195
2269.2,2395.2122
1290.8,1128.979
101.99996,276.92722
2.5854297e-05,93.3597
2.5854297e-05,57.531277
2.5854297e-05,60.277004
2.5854297e-05,87.8442
2.5854297e-05,115.80404
2.5854297e-05,113.38918
2.5854297e-05,82.97213
2.5854297e-05,115.037254
2.5854297e-05,164.19675
2.5854297e-05,115.845116
2.5854297e-05,86.85616
2.5854297e-05,81.222496
2.5854297e-05,45.460842
2.5854297e-05,172.79678
566.0,836.8015
2042.0001,2275.7441
3286.8,3295.221
3475.2,3903.3032
2967.6,4028.387
3422.4001,3863.71
2868.4,3424.326
1306.4,2441.9458
750.0,1245.8032
157.6,326.12762
2.5854297e-05,102.9902
2.5854297e-05,67.91909
2.5854297e-05,39.9949
2.5854297e-05,56.72244
2.5854297e-05,88.352684
2.5854297e-05,85.18539
2.5854297e-05,70.99416
2.5854297e-05,85.92959
2.5854297e-05,119.50649
2.5854297e-05,57.288784
2.5854297e-05,45.552273
2.5854297e-05,43.921352
2.5854297e-05,89.21926
2.5854297e-05,235.53409
769.2,991.5216
2440.0,2412.169
3332.4001,3226.5095
3750.4001,3714.0706
3792.8,3828.4155
3616.0,3603.193
3202.8,3147.4275
2500.4,2215.1704
1384.0,1063.9913
130.80002,229.03183
2.5854297e-05,43.249966
2.5854297e-05,83.63149
2.5854297e-05,122.79391
2.5854297e-05,134.54178
2.5854297e-05,153.41385
2.5854297e-05,146.15518
2.5854297e-05,61.48373
2.5854297e-05,78.76174
2.5854297e-05,115.97036
2.5854297e-05,34.490017
2.5854297e-05,-23.06644
2.5854297e-05,1.7959853
2.5854297e-05,11.564113
1.199977,180.09341
576.8,815.2553
1370.8,2014.7571
2404.4,2779.4753
3048.4,3268.9514
3240.8,3465.3174
2657.2,3050.9055
1701.2,2288.6704
980.0,1606.543
830.0,953.38324
108.80001,263.53546
2.5854297e-05,193.55356
2.5854297e-05,160.09152
2.5854297e-05,158.97574
2.5854297e-05,162.94498
2.5854297e-05,224.13187
2.5854297e-05,169.73239
2.5854297e-05,118.37417
2.5854297e-05,121.01754
2.5854297e-05,159.8533
2.5854297e-05,127.65444
2.5854297e-05,99.008446
2.5854297e-05,63.947903
2.5854297e-05,83.34261
2.5854297e-05,197.29752
278.8,732.7809
644.4,2113.8718
1733.2001,3129.7495
3238.4001,3621.5454
3376.4001,3833.7988
2658.8,3814.404
2492.4,3533.901
2523.2,2548.23
1336.8,1326.0172
154.00003,321.3229
2.5854297e-05,133.40341
2.5854297e-05,72.90194
2.5854297e-05,78.14132
2.5854297e-05,128.58487
2.5854297e-05,184.23135
2.5854297e-05,194.7125
2.5854297e-05,166.13248
2.5854297e-05,150.7977
2.5854297e-05,177.55179
