stacking,weight,rf,lg,ann,lstm,real
0.0011046825812639908,-0.00031542155193164945,2.281761906336014e-06,0.0025146441798043046,-0.004394948482513428,-0.0002067461609840393,0.0
0.0009300063124577166,-0.0004929532296955585,2.281761906336014e-06,0.0025146441798043046,-0.004390060901641846,-0.00038721412420272827,0.0
0.0010346987109328574,-0.0003864609752781689,2.281761906336014e-06,0.0025146441798043046,-0.004383116960525513,-0.0002788826823234558,0.0
0.0008988260379437919,-0.0005245500942692161,2.281761906336014e-06,0.0025146441798043046,-0.004378795623779297,-0.00041925162076950073,0.0
0.0008765558150702113,-0.000547097297385335,2.281761906336014e-06,0.0025146441798043046,-0.004368454217910767,-0.0004420951008796692,0.0
0.0012792569607733089,-0.00013763939205091447,2.281761906336014e-06,0.0025146441798043046,-0.004360318183898926,-2.571195363998413e-05,0.0
0.0010352579884862492,-0.0003856590483337641,2.281761906336014e-06,0.0025146441798043046,-0.004357069730758667,-0.00027786195278167725,0.0
0.004230332606707804,0.002823786810040474,0.0044750038600384736,0.005809445345338538,-0.003966659307479858,0.0028694570064544678,0.0
0.1166463799447378,0.11783500760793686,0.09977997266591603,0.06759763178717229,0.1402570605278015,0.11791165173053741,0.14608307778087543
0.2941314081899144,0.29441505670547485,0.42183948450545244,0.37435892345260674,0.35849931836128235,0.29471665620803833,0.49558591208995456
0.516393793076496,0.5184098482131958,0.580763970951047,0.5573621614434225,0.6005900502204895,0.5240465402603149,0.7233528482483041
0.6758184283270291,0.6761022806167603,0.7459104879420559,0.7647983588821352,0.6672309041023254,0.6855885982513428,0.8648824458693432
0.7064259189869574,0.7076658010482788,0.7444849377683056,0.7538040318439565,0.6715015172958374,0.7171642780303955,0.9342997862652169
0.6383176255883417,0.6392407417297363,0.7095299223194909,0.7129823327371754,0.6585023403167725,0.647528350353241,0.8652541585354522
0.7774071101009777,0.7811571955680847,0.7444849377683056,0.7236212906807344,0.6859242916107178,0.7902151942253113,0.6551435740172846
0.6822145270702682,0.6857450008392334,0.631466213141423,0.6216681184932589,0.6356821060180664,0.6947083473205566,0.4193848155375895
0.4129004569910326,0.4130837321281433,0.3454540719777582,0.4233934796614647,0.5153318643569946,0.42487233877182007,0.2280457206579314
0.3074592725848753,0.30870896577835083,0.2869430556435954,0.27147218272159906,0.28407806158065796,0.31204381585121155,0.1442245144503299
0.14495992646526942,0.14742639660835266,0.12298373969538395,0.04866383442059447,0.094585120677948,0.14489009976387024,0.04664993959669177
0.002773715477010839,0.001415327307768166,0.0004964050438927625,0.001939509200753863,-0.004256159067153931,0.001485392451286316,0.0039959111606728
0.0014506045310774805,6.658612983301282e-05,0.0003096621753824778,0.001939509200753863,-0.004250288009643555,0.00012720376253128052,0.0
0.0022787459893566604,0.0009085414349101484,0.0003096621753824778,0.001939509200753863,-0.004242628812789917,0.0009833276271820068,0.0
0.0010864963146731091,-0.00030340682133100927,0.0003096621753824778,0.001939509200753863,-0.004232585430145264,-0.00024884939193725586,0.0
0.0021740656963701206,0.000779189052991569,0.00029837279030591455,0.0025146441798043046,-0.004218995571136475,0.0008868128061294556,0.0
0.001264409094097169,-1.161999080068199e-05,1.7416725550394843e-06,-3.4651985593328757e-05,5.131959915161133e-05,-1.3582408428192139e-05,0.0
0.0012228362927023627,-5.3107141866348684e-05,1.7416725550394843e-06,-3.4651985593328757e-05,0.0001378953456878662,-5.508214235305786e-05,0.0
0.0012296115743382697,-4.775391425937414e-05,1.7416725550394843e-06,-7.183524974830344e-05,-0.00019878149032592773,-5.449354648590088e-05,0.0
0.0011906258982854942,-8.707532106200233e-05,1.7416725550394843e-06,-3.4651985593328757e-05,1.3709068298339844e-06,-9.069591760635376e-05,0.0
0.0011687943983295615,-0.0001071766164386645,1.7416725550394843e-06,-3.4651985593328757e-05,0.00023493170738220215,-0.00010929256677627563,0.0
0.0011448061298804553,-0.0001315083063673228,1.7416725550394843e-06,-3.4651985593328757e-05,0.0002410411834716797,-0.0001339837908744812,0.0
0.0011302254373572428,-0.00014560899580828846,1.7416725550394843e-06,-3.4651985593328757e-05,0.0003216266632080078,-0.00014768540859222412,0.0
0.012844053363939479,0.011530153453350067,0.007070492125868416,0.013529140356596522,0.018981724977493286,0.012177199125289917,0.006597899823436484
0.15015014594137488,0.14840975403785706,0.11588248599656635,0.16355915199898027,0.14230722188949585,0.15356206893920898,0.15184462410556637
0.4285395469282272,0.4318212568759918,0.4131842929529247,0.3355742779819622,0.29086267948150635,0.4322049021720886,0.47653563795186316
0.6427584586457429,0.6462019681930542,0.6003067176253192,0.5686482906969089,0.5325481295585632,0.6527397036552429,0.6961248954558127
0.8257928601694586,0.8282040953636169,0.764413090097528,0.7744312171439466,0.628524661064148,0.8392052054405212,0.8449958182325062
0.8257809255619563,0.8313179612159729,0.7263910856344888,0.6791478665903472,0.6381791830062866,0.8394787311553955,0.8716662020258343
0.6712927538301536,0.6714096069335938,0.6904944165818668,0.7223834808553227,0.5915945768356323,0.6816009283065796,0.8950840999907073
0.8738850946480444,0.8768035173416138,0.7704477514177451,0.8081431506826745,0.7325783967971802,0.8910103440284729,0.8835610073413251
0.7668293329247364,0.7693353295326233,0.6814197943626159,0.7179256580052071,0.6816322803497314,0.7822505831718445,0.7931419013102872
0.6033755161008524,0.604927659034729,0.5574507082955256,0.5966756619789199,0.6144159436225891,0.6160851716995239,0.5859120899544652
0.37970829684423163,0.3809668719768524,0.33997132734744007,0.35191016668574004,0.3910599946975708,0.38739317655563354,0.29597621038936905
