"시점","항목","시간대별",데이터
"2017","11월","17시",952
"2017","11월","18시",1123
"2017","11월","19시",1275
"2017","11월","20시",1316
"2017","11월","21시",1325
"2017","11월","22시",1309
"2017","11월","23시",1238
"2017","11월","24시",1108
"2017","12월","1시",957
"2017","12월","2시",851
"2017","12월","3시",792
"2017","12월","4시",767
"2017","12월","5시",765
"2017","12월","6시",787
"2017","12월","7시",874
"2017","12월","8시",1017
"2017","12월","9시",1059
"2017","12월","10시",1021
"2017","12월","11시",988
"2017","12월","12시",956
"2017","12월","13시",935
"2017","12월","14시",914
"2017","12월","15시",903
"2017","12월","16시",916
"2017","12월","17시",972
"2017","12월","18시",1133
"2017","12월","19시",1254
"2017","12월","20시",1283
"2017","12월","21시",1286
"2017","12월","22시",1270
"2017","12월","23시",1205
"2017","12월","24시",1091
"2018","1월","1시",951
"2018","1월","2시",845
"2018","1월","3시",786
"2018","1월","4시",761
"2018","1월","5시",758
"2018","1월","6시",778
"2018","1월","7시",859
"2018","1월","8시",974
"2018","1월","9시",1036
"2018","1월","10시",1029
"2018","1월","11시",1006
"2018","1월","12시",983
"2018","1월","13시",969
"2018","1월","14시",944
"2018","1월","15시",924
"2018","1월","16시",927
"2018","1월","17시",971
"2018","1월","18시",1099
"2018","1월","19시",1255
"2018","1월","20시",1291
"2018","1월","21시",1291
"2018","1월","22시",1272
"2018","1월","23시",1203
"2018","1월","24시",1087
"2018","2월","1시",963
"2018","2월","2시",853
"2018","2월","3시",793
"2018","2월","4시",767
"2018","2월","5시",763
"2018","2월","6시",784
"2018","2월","7시",864
"2018","2월","8시",992
"2018","2월","9시",1045
"2018","2월","10시",1031
"2018","2월","11시",1006
"2018","2월","12시",981
"2018","2월","13시",965
"2018","2월","14시",941
"2018","2월","15시",922
"2018","2월","16시",926
"2018","2월","17시",960
"2018","2월","18시",1051
"2018","2월","19시",1226
"2018","2월","20시",1285
"2018","2월","21시",1287
"2018","2월","22시",1275
"2018","2월","23시",1214
"2018","2월","24시",1099
"2018","3월","1시",971
"2018","3월","2시",853
"2018","3월","3시",792
"2018","3월","4시",767
"2018","3월","5시",765
"2018","3월","6시",790
"2018","3월","7시",894
"2018","3월","8시",1062
"2018","3월","9시",1070
"2018","3월","10시",1019
"2018","3월","11시",975
"2018","3월","12시",945
"2018","3월","13시",928
"2018","3월","14시",905
"2018","3월","15시",891
"2018","3월","16시",898
"2018","3월","17시",937
"2018","3월","18시",1030
"2018","3월","19시",1202
"2018","3월","20시",1311
"2018","3월","21시",1325
"2018","3월","22시",1310
"2018","3월","23시",1240
"2018","3월","24시",1114
"2018","4월","1시",969
"2018","4월","2시",852
"2018","4월","3시",790
"2018","4월","4시",762
"2018","4월","5시",760
"2018","4월","6시",787
"2018","4월","7시",903
"2018","4월","8시",1062
"2018","4월","9시",1067
"2018","4월","10시",1010
"2018","4월","11시",965
"2018","4월","12시",937
"2018","4월","13시",926
"2018","4월","14시",908
"2018","4월","15시",896
"2018","4월","16시",907
"2018","4월","17시",946
"2018","4월","18시",1027
"2018","4월","19시",1175
"2018","4월","20시",1307
"2018","4월","21시",1341
"2018","4월","22시",1326
"2018","4월","23시",1252
"2018","4월","24시",1118
"2018","5월","1시",966
"2018","5월","2시",844
"2018","5월","3시",779
"2018","5월","4시",748
"2018","5월","5시",742
"2018","5월","6시",769
"2018","5월","7시",883
"2018","5월","8시",1035
"2018","5월","9시",1056
"2018","5월","10시",1014
"2018","5월","11시",978
"2018","5월","12시",956
"2018","5월","13시",948
"2018","5월","14시",931
"2018","5월","15시",921
"2018","5월","16시",929
"2018","5월","17시",965
"2018","5월","18시",1044
"2018","5월","19시",1164
"2018","5월","20시",1278
"2018","5월","21시",1339
"2018","5월","22시",1330
"2018","5월","23시",1255
