"시점","항목","시간대별",데이터
"2020","11월","17시",994
"2020","11월","18시",1172
"2020","11월","19시",1323
"2020","11월","20시",1352
"2020","11월","21시",1341
"2020","11월","22시",1303
"2020","11월","23시",1208
"2020","11월","24시",1072
"2020","12월","1시",917
"2020","12월","2시",811
"2020","12월","3시",752
"2020","12월","4시",724
"2020","12월","5시",717
"2020","12월","6시",738
"2020","12월","7시",812
"2020","12월","8시",929
"2020","12월","9시",994
"2020","12월","10시",1004
"2020","12월","11시",998
"2020","12월","12시",996
"2020","12월","13시",1004
"2020","12월","14시",978
"2020","12월","15시",952
"2020","12월","16시",953
"2020","12월","17시",1009
"2020","12월","18시",1189
"2020","12월","19시",1327
"2020","12월","20시",1346
"2020","12월","21시",1324
"2020","12월","22시",1284
"2020","12월","23시",1185
"2020","12월","24시",1057
"2021","1월","1시",932
"2021","1월","2시",831
"2021","1월","3시",778
"2021","1월","4시",753
"2021","1월","5시",750
"2021","1월","6시",777
"2021","1월","7시",862
"2021","1월","8시",974
"2021","1월","9시",1013
"2021","1월","10시",994
"2021","1월","11시",975
"2021","1월","12시",975
"2021","1월","13시",982
"2021","1월","14시",952
"2021","1월","15시",926
"2021","1월","16시",922
"2021","1월","17시",980
"2021","1월","18시",1132
"2021","1월","19시",1294
"2021","1월","20시",1330
"2021","1월","21시",1316
"2021","1월","22시",1289
"2021","1월","23시",1194
"2021","1월","24시",1068
"2021","2월","1시",944
"2021","2월","2시",840
"2021","2월","3시",785
"2021","2월","4시",760
"2021","2월","5시",757
"2021","2월","6시",786
"2021","2월","7시",876
"2021","2월","8시",998
"2021","2월","9시",1024
"2021","2월","10시",995
"2021","2월","11시",969
"2021","2월","12시",963
"2021","2월","13시",970
"2021","2월","14시",938
"2021","2월","15시",911
"2021","2월","16시",909
"2021","2월","17시",950
"2021","2월","18시",1078
"2021","2월","19시",1270
"2021","2월","20시",1336
"2021","2월","21시",1330
"2021","2월","22시",1305
"2021","2월","23시",1216
"2021","2월","24시",1089
"2021","3월","1시",952
"2021","3월","2시",847
"2021","3월","3시",793
"2021","3월","4시",768
"2021","3월","5시",767
"2021","3월","6시",800
"2021","3월","7시",914
"2021","3월","8시",1069
"2021","3월","9시",1047
"2021","3월","10시",976
"2021","3월","11시",933
"2021","3월","12시",925
"2021","3월","13시",932
"2021","3월","14시",904
"2021","3월","15시",882
"2021","3월","16시",884
"2021","3월","17시",926
"2021","3월","18시",1048
"2021","3월","19시",1242
"2021","3월","20시",1359
"2021","3월","21시",1361
"2021","3월","22시",1331
"2021","3월","23시",1238
"2021","3월","24시",1103
"2021","4월","1시",952
"2021","4월","2시",847
"2021","4월","3시",792
"2021","4월","4시",765
"2021","4월","5시",764
"2021","4월","6시",798
"2021","4월","7시",917
"2021","4월","8시",1054
"2021","4월","9시",1036
"2021","4월","10시",967
"2021","4월","11시",929
"2021","4월","12시",925
"2021","4월","13시",938
"2021","4월","14시",913
"2021","4월","15시",892
"2021","4월","16시",896
"2021","4월","17시",937
"2021","4월","18시",1049
"2021","4월","19시",1219
"2021","4월","20시",1351
"2021","4월","21시",1368
"2021","4월","22시",1338
"2021","4월","23시",1245
"2021","4월","24시",1108
"2021","5월","1시",946
"2021","5월","2시",838
"2021","5월","3시",779
"2021","5월","4시",750
"2021","5월","5시",746
"2021","5월","6시",781
"2021","5월","7시",895
"2021","5월","8시",1033
"2021","5월","9시",1035
"2021","5월","10시",977
"2021","5월","11시",945
"2021","5월","12시",945
"2021","5월","13시",960
"2021","5월","14시",938
"2021","5월","15시",918
"2021","5월","16시",922
"2021","5월","17시",961
"2021","5월","18시",1061
"2021","5월","19시",1203
"2021","5월","20시",1318
"2021","5월","21시",1361
"2021","5월","22시",1335
"2021","5월","23시",1245
"2021","5월","24시",1109
"2021","6월","1시",943
"2021","6월","2시",829
"2021","6월","3시",765
"2021","6월","4시",731
"2021","6월","5시",721
"2021","6월","6시",754
"2021","6월","7시",860
"2021","6월","8시",997
"2021","6월","9시",1003
"2021","6월","10시",954
"2021","6월","11시",933
"2021","6월","12시",942
"2021","6월","13시",966
"2021","6월","14시",957
"2021","6월","15시",945
"2021","6월","16시",954
"2021","6월","17시",999
"2021","6월","18시",1096
"2021","6월","19시",1231
"2021","6월","20시",1329
"2021","6월","21시",1376
"2021","6월","22시",1351
"2021","6월","23시",1255
"2021","6월","24시",1110
"2021","7월","1시",917
"2021","7월","2시",793
"2021","7월","3시",719
"2021","7월","4시",675
"2021","7월","5시",652
"2021","7월","6시",659
"2021","7월","7시",732
"2021","7월","8시",846
"2021","7월","9시",892
"2021","7월","10시",902
"2021","7월","11시",923
"2021","7월","12시",965
"2021","7월","13시",1025
"2021","7월","14시",1035
"2021","7월","15시",1025
"2021","7월","16시",1034
"2021","7월","17시",1075
"2021","7월","18시",1169
"2021","7월","19시",1312
"2021","7월","20시",1410
"2021","7월","21시",1437
"2021","7월","22시",1396
"2021","7월","23시",1286
"2021","7월","24시",1120
"2021","8월","1시",928
"2021","8월","2시",811
"2021","8월","3시",739
"2021","8월","4시",697
"2021","8월","5시",677
"2021","8월","6시",684
"2021","8월","7시",757
"2021","8월","8시",869
"2021","8월","9시",914
"2021","8월","10시",928
"2021","8월","11시",947
"2021","8월","12시",985
"2021","8월","13시",1035
"2021","8월","14시",1033
"2021","8월","15시",1017
"2021","8월","16시",1023
"2021","8월","17시",1060
"2021","8월","18시",1150
"2021","8월","19시",1285
"2021","8월","20시",1383
"2021","8월","21시",1394
"2021","8월","22시",1347
"2021","8월","23시",1246
"2021","8월","24시",1092
"2021","9월","1시",931
"2021","9월","2시",821
"2021","9월","3시",759
"2021","9월","4시",726
"2021","9월","5시",718
"2021","9월","6시",746
"2021","9월","7시",852
"2021","9월","8시",1001
"2021","9월","9시",1007
"2021","9월","10시",959
"2021","9월","11시",937
"2021","9월","12시",945
"2021","9월","13시",968
"2021","9월","14시",958
"2021","9월","15시",946
"2021","9월","16시",957
"2021","9월","17시",1002
"2021","9월","18시",1111
"2021","9월","19시",1273
"2021","9월","20시",1371
"2021","9월","21시",1367
"2021","9월","22시",1326
"2021","9월","23시",1232
"2021","9월","24시",1086
"2021","10월","1시",940
"2021","10월","2시",832
"2021","10월","3시",774
"2021","10월","4시",745
"2021","10월","5시",741
"2021","10월","6시",773
"2021","10월","7시",877
"2021","10월","8시",1029
"2021","10월","9시",1019
"2021","10월","10시",956
"2021","10월","11시",924
"2021","10월","12시",923
"2021","10월","13시",937
"2021","10월","14시",921
"2021","10월","15시",907
"2021","10월","16시",918
"2021","10월","17시",971
"2021","10월","18시",1118
"2021","10월","19시",1312
"2021","10월","20시",1367
"2021","10월","21시",1361
"2021","10월","22시",1324
"2021","10월","23시",1233
"2021","10월","24시",1097
"2021","11월","1시",939
"2021","11월","2시",840
"2021","11월","3시",786
"2021","11월","4시",760
"2021","11월","5시",758
"2021","11월","6시",792
"2021","11월","7시",896
"2021","11월","8시",1049
"2021","11월","9시",1037
"2021","11월","10시",957
"2021","11월","11시",916
"2021","11월","12시",909
"2021","11월","13시",919
"2021","11월","14시",901
"2021","11월","15시",887
"2021","11월","16시",902
"2021","11월","17시",970
"2021","11월","18시",1152
"2021","11월","19시",1311
"2021","11월","20시",1353
"2021","11월","21시",1347
"2021","11월","22시",1312
"2021","11월","23시",1219
"2021","11월","24시",1086
"2021","12월","1시",936
"2021","12월","2시",838
"2021","12월","3시",785
"2021","12월","4시",760
"2021","12월","5시",758
"2021","12월","6시",789
"2021","12월","7시",886
"2021","12월","8시",1031
"2021","12월","9시",1041
"2021","12월","10시",974
"2021","12월","11시",933
"2021","12월","12시",924
"2021","12월","13시",931
"2021","12월","14시",913
"2021","12월","15시",899
"2021","12월","16시",913
"2021","12월","17시",983
"2021","12월","18시",1161
"2021","12월","19시",1301
"2021","12월","20시",1335
"2021","12월","21시",1328
"2021","12월","22시",1297
"2021","12월","23시",1206
"2021","12월","24시",1078
